file,label,final_prediction,final_confidence,cnn_pred,cnn_conf,rppg_pred,rppg_conf,heart_rate,fusion_method,correct
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id11_0008.mp4,REAL,FAKE,50.03,FAKE,50.03,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id0_0006.mp4,REAL,FAKE,100.00,FAKE,100.00,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id17_0002.mp4,REAL,REAL,94.70,REAL,94.70,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id16_0008.mp4,REAL,FAKE,96.44,FAKE,96.44,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id16_0003.mp4,REAL,REAL,94.01,REAL,94.01,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id12_0004.mp4,REAL,REAL,96.91,REAL,96.91,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id11_0006.mp4,REAL,FAKE,79.68,FAKE,79.68,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id8_0001.mp4,REAL,FAKE,81.94,FAKE,81.94,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id11_0002.mp4,REAL,REAL,85.54,REAL,85.54,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id4_0000.mp4,REAL,FAKE,77.38,FAKE,77.38,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id0_0008.mp4,REAL,FAKE,44.71,FAKE,90.19,REAL,83.02,71.32,CNN-RNN Primary (rPPG disagrees),0
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id0_0007.mp4,REAL,REAL,100.00,REAL,98.80,REAL,93.21,67.92,Strong Fusion (CNN-RNN and rPPG agree on REAL),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id11_0003.mp4,REAL,REAL,99.16,REAL,99.16,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id16_0001.mp4,REAL,REAL,80.87,REAL,80.87,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\Celeb-DF\Celeb-real\id16_0005.mp4,REAL,REAL,99.60,REAL,99.60,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
