file,label,final_prediction,final_confidence,cnn_pred,cnn_conf,rppg_pred,rppg_conf,heart_rate,fusion_method,correct
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\654.mp4,REAL,REAL,98.77,REAL,98.77,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\114.mp4,REAL,REAL,99.55,REAL,99.55,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\025.mp4,REAL,REAL,100.00,REAL,100.00,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\759.mp4,REAL,REAL,98.56,REAL,98.56,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\281.mp4,REAL,REAL,99.74,REAL,99.74,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\250.mp4,REAL,REAL,99.53,REAL,99.53,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\228.mp4,REAL,REAL,99.25,REAL,99.25,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\142.mp4,REAL,REAL,99.98,REAL,99.98,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\754.mp4,REAL,REAL,99.99,REAL,99.99,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\104.mp4,REAL,REAL,100.00,REAL,99.98,REAL,84.81,83.32,Strong Fusion (CNN-RNN and rPPG agree on REAL),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\692.mp4,REAL,REAL,99.47,REAL,99.47,Unknown,0.00,0.00,CNN-RNN only (no/unreliable rPPG data),1
C:\Users\KK\Desktop\dfd\FaceForensics++_C23\original\758.mp4,REAL,REAL,96.66,REAL,53.17,REAL,92.61,76.33,Strong Fusion (CNN-RNN and rPPG agree on REAL),1
